-1.0472	1.50814	0.0154852	1.55664	0.0163441	1.6285	0.0175368	1.72052	0.019324	1.77208	0.0206452	1.79193	0.0214311
-0.916298	1.60158	0.0161327	1.62978	0.0167657	1.65437	0.0178714	1.70615	0.0194684	1.71733	0.0205065	1.73183	0.0211289
-0.785399	1.72321	0.0167782	1.75038	0.0174538	1.6833	0.0181367	1.70199	0.0193189	1.635	0.0198787	1.65993	0.0206468
-0.654499	1.83603	0.0171168	1.82938	0.0176731	1.75496	0.0184149	1.66444	0.0190446	1.61739	0.0196938	1.58764	0.0202056
-0.523599	1.97164	0.0177661	1.93138	0.0181833	1.82086	0.0186583	1.72594	0.0193589	1.60719	0.0195612	1.55028	0.0199104
-0.392699	2.09727	0.018364	2.00536	0.0185449	1.845	0.0188561	1.75298	0.0197472	1.55023	0.0193889	1.48496	0.0195838
-0.2618	2.24607	0.0190307	2.12715	0.0192745	1.91432	0.0191368	1.76532	0.0198682	1.55598	0.0193498	1.54787	0.0200076
-0.1309	2.29001	0.0191798	2.16797	0.0192195	1.95677	0.0193681	1.78558	0.0198004	1.5911	0.019653	1.5482	0.0197746
-3.33333e-07	2.28457	0.0191234	2.14858	0.0192612	1.94643	0.0191999	1.78705	0.0197535	1.60372	0.0196171	1.48785	0.0195105
0.130899	2.22742	0.0190495	2.13879	0.0193488	1.93323	0.0194683	1.73947	0.019563	1.56876	0.0193179	1.52007	0.0196598
0.261799	2.14969	0.0187406	1.98726	0.0183661	1.87609	0.0190962	1.74071	0.0195635	1.58429	0.0193849	1.50161	0.0197313
0.392699	1.99536	0.017993	1.91707	0.0181389	1.81366	0.0185219	1.70419	0.0192444	1.59227	0.0195795	1.54327	0.0198706
0.523598	1.83967	0.0171938	1.79943	0.0175277	1.79783	0.0185992	1.72484	0.0194993	1.63126	0.0198575	1.57226	0.0200621
0.654498	1.69931	0.0164501	1.71506	0.0172789	1.76332	0.0186744	1.69819	0.0193882	1.62527	0.0197758	1.67303	0.0206985
0.785398	1.58516	0.0161065	1.60286	0.0165731	1.66298	0.0179895	1.67222	0.0191283	1.70187	0.0203222	1.7368	0.021322
0.916298	1.47773	0.0153804	1.57105	0.0164737	1.60489	0.0175358	1.68038	0.0191146	1.73853	0.0205733	1.80377	0.0214848
1.0472	1.40472	0.0151206	1.48169	0.0160144	1.58247	0.01748	1.7288	0.0194426	1.78755	0.0206667	1.87042	0.0217347
1.1781	1.35965	0.0149384	1.43981	0.0156797	1.51636	0.0169946	1.72052	0.0194821	1.8424	0.021161	1.96609	0.0225556
1.309	1.3321	0.0146598	1.37483	0.0153926	1.49764	0.0171019	1.71559	0.0193332	1.85262	0.0211454	2.03899	0.0229832
1.4399	1.30726	0.0143704	1.38373	0.015359	1.55587	0.0172048	1.72268	0.0194174	1.94044	0.0217274	2.07729	0.023021
